Link,Name,Image,Category,Subcategory,Color,Current Price,Original Price,Description,Details,Tag,Status,Remarks,Timestamp
https://singapore.coach.com/women/shoes/cv388-urc.html,RONNIE LOAFER IN SIGNATURE TEXTILE JACQUARD,https://s7d2.scene7.com/is/image/Coach/cv388_urc_a0?fmt=jpg&wid=711&hei=888&qlt=80%2C1&op_sharpen=0&resMode=bicub&op_usm=5%2C0.2%2C0%2C0&iccEmbed=0&fit=vfit,women-shoes,,CV388 URC,SGD 350.00,SGD 350.00,No Description Available,Signature textile jacquard and leather upper Leather lining and footbed Rubber outsole Slip on,,,In stock,2024-09-04 19:36:36
https://singapore.coach.com/women/shoes/cu163-slv.html,ABIGAIL FLAT,https://s7d2.scene7.com/is/image/Coach/cu163_slv_a0?fmt=jpg&wid=711&hei=888&qlt=80%2C1&op_sharpen=0&resMode=bicub&op_usm=5%2C0.2%2C0%2C0&iccEmbed=0&fit=vfit,women-shoes,,CU163 SLV,SGD 295.00,SGD 295.00,"This go-everywhere Abigail ballet flat is our wear-with-everything style, perfect for work, weekends and vacations. Crafted of high-shine metallic leather finished with a sweet bow detail and our polished Signature hardware, it features a padded footbed for all-day comfort and a slip-resistant rubber sole.",Metallic leather upper Man-made leather lining and footbed Rubber outsole Slip on .5cm heel,,,In stock,2024-09-04 19:36:36
https://singapore.coach.com/women/shoes/cs052-wsa.html,LEAH LOAFER WITH QUILTING,https://s7d2.scene7.com/is/image/Coach/cs052_wsa_a0?fmt=jpg&wid=711&hei=888&qlt=80%2C1&op_sharpen=0&resMode=bicub&op_usm=5%2C0.2%2C0%2C0&iccEmbed=0&fit=vfit,women-shoes,,CS052 WSA,SGD 395.00,SGD 395.00,No Description Available,"Denim and leather upper Man-made leather lining, leather footbed Rubber outsole Slip on 4cm heel",,,In stock 2 Left in stock,2024-09-04 19:36:36
https://singapore.coach.com/women/shoes/cs080-blk.html,NIKKI SANDAL,https://s7d2.scene7.com/is/image/Coach/cs080_blk_a0?fmt=jpg&wid=711&hei=888&qlt=80%2C1&op_sharpen=0&resMode=bicub&op_usm=5%2C0.2%2C0%2C0&iccEmbed=0&fit=vfit,women-shoes,,CS080 BLK,SGD 395.00,SGD 395.00,No Description Available,"Leather upper, Leather lining and footbed, Leather outsole, Slip on, 6.5cm heel",,,In stock 1 Left in stock,2024-09-04 19:36:37
https://singapore.coach.com/women/shoes/cs100-wty.html,C201 LOW TOP SNEAKER IN SIGNATURE CANVAS,https://s7d2.scene7.com/is/image/Coach/cs100_wty_a0?fmt=jpg&wid=711&hei=888&qlt=80%2C1&op_sharpen=0&resMode=bicub&op_usm=5%2C0.2%2C0%2C0&iccEmbed=0&fit=vfit,women-shoes,,CS100 WTY,SGD 395.00,SGD 395.00,No Description Available,"Signature canvas, canvas and leather upper Fabric lining and footbed Rubber outsole Lace-up closure",,,In stock 1 Left in stock,2024-09-04 19:36:37
https://singapore.coach.com/women/shoes/cs057-wsa.html,JOLENE LOAFER,https://s7d2.scene7.com/is/image/Coach/cs057_wsa_a0?fmt=jpg&wid=711&hei=888&qlt=80%2C1&op_sharpen=0&resMode=bicub&op_usm=5%2C0.2%2C0%2C0&iccEmbed=0&fit=vfit,women-shoes,,CS057 WSA,SGD 395.00,SGD 395.00,"A classic style that’s both tailored and laidback, our Jolene loafer is a versatile work to weekend design. Crafted of casual-cool denim with smooth leather details, it’s finished with a subtle block heel and our polished Signature hardware for a heritage touch.","Denim and leather upper, Man-made leather lining and footbed, Leather outsole, Slip on, 2cm heel",,,In stock 2 Left in stock,2024-09-04 19:36:37
https://singapore.coach.com/women/shoes/cu269-aqm.html,C201 LOW TOP SNEAKER IN SIGNATURE CANVAS JACQUARD,https://s7d2.scene7.com/is/image/Coach/cu269_aqm_a0?fmt=jpg&wid=711&hei=888&qlt=80%2C1&op_sharpen=0&resMode=bicub&op_usm=5%2C0.2%2C0%2C0&iccEmbed=0&fit=vfit,women-shoes,,CU269 AQM,SGD 395.00,SGD 395.00,"Inspired by traditional court shoes, our C201 sneaker is crafted in a mix of our Signature canvas jacquard, suede and smooth leather. The versatile low-top features a grooved sole for great traction.","Signature canvas jacquard, leather and suede upper Fabric lining and footbed Rubber outsole Lace-up closure",,,In stock,2024-09-04 19:36:37
https://singapore.coach.com/women/shoes/cu361-opi.html,RUNNER SNEAKER,https://s7d2.scene7.com/is/image/Coach/cu361_opi_a0?fmt=jpg&wid=711&hei=888&qlt=80%2C1&op_sharpen=0&resMode=bicub&op_usm=5%2C0.2%2C0%2C0&iccEmbed=0&fit=vfit,women-shoes,,CU361 OPI,SGD 395.00,SGD 395.00,"A cool, classic sneaker style for on-the-run days, this elevated running shoe is crafted in a mix of suede, nylon and leather detailed with our puffy Signature. It’s finished with a comfortable EVA sole for all-day comfort and ease.","Nylon, suede and leather upper Fabric lining and footbed EVA outsole Lace-up closure",,,In stock,2024-09-04 19:36:37
https://singapore.coach.com/women/shoes/cv386-urc.html,HOLLY SANDAL IN SIGNATURE TEXTILE JACQUARD,https://s7d2.scene7.com/is/image/Coach/cv386_urc_a0?fmt=jpg&wid=711&hei=888&qlt=80%2C1&op_sharpen=0&resMode=bicub&op_usm=5%2C0.2%2C0%2C0&iccEmbed=0&fit=vfit,women-shoes,,CV386 URC,SGD 295.00,SGD 295.00,No Description Available,Signature textile jacquard upper Man-made leather lining and footbed Rubber outsole Slip on .5cm heel,,,In stock,2024-09-04 19:36:37
https://singapore.coach.com/women/shoes/cs077-wsa.html,NIKKI SANDAL,https://s7d2.scene7.com/is/image/Coach/cs077_wsa_a0?fmt=jpg&wid=711&hei=888&qlt=80%2C1&op_sharpen=0&resMode=bicub&op_usm=5%2C0.2%2C0%2C0&iccEmbed=0&fit=vfit,women-shoes,,CS077 WSA,SGD 395.00,SGD 395.00,No Description Available,"Denim upper, Leather lining and footbed, Leather outsole, Slip on, 6.5cm heel",,,In stock 2 Left in stock,2024-09-04 19:36:37
